"u","Points:0","Points:1","Points:2"
0.943,-0.35585,0.030644,0.28115
0.91764,0.072349,0.040858,-0.44689
0.94496,0.24795,0.051073,0.37752
0.93169,-0.43661,0.061287,-0.11057
0.92116,0.39531,0.071502,-0.21268
0.91741,-0.14725,0.081716,0.4222
0.9107,-0.17583,0.091931,-0.40896
0.91967,0.40386,0.10215,0.18187
0.9226,-0.41829,0.11236,0.13793
0.92644,0.21393,0.12257,-0.38187
0.91746,0.099519,0.13279,0.42317
0.91986,-0.35654,0.143,-0.24298
0.93316,0.42355,0.15322,-0.061173
0.95415,-0.26859,0.16343,0.32827
0.96705,-0.02347,0.17365,-0.41941
0.9424,0.29749,0.18386,0.29036
0.95593,-0.41083,0.19408,-0.013002
0.95833,0.30793,0.20429,-0.26467
0.95357,-0.047646,0.21451,0.39791
0.9572,-0.23036,0.22472,-0.32101
0.95578,0.38084,0.23493,0.079865
0.95135,-0.3293,0.24515,0.19512
0.94564,0.10906,0.25536,-0.35987
0.95908,0.15958,0.26558,0.33259
0.96235,-0.3353,0.27579,-0.13462
0.9602,0.33066,0.28601,-0.1244
0.95133,-0.15593,0.29622,0.30749
0.96159,-0.090293,0.30643,-0.32335
0.95812,0.27684,0.31665,0.17235
0.96268,-0.31049,0.32686,0.05803
0.9681,0.18318,0.33708,-0.24379
0.95606,0.028468,0.34729,0.29187
0.96811,-0.20882,0.35751,-0.1876
0.9739,0.26718,0.36772,-0.00259
0.95529,-0.18455,0.37794,0.17238
0.96683,0.018395,0.38815,-0.23582
0.9493,0.13486,0.39837,0.17242
0.94748,-0.19647,0.40858,-0.032791
0.94827,0.14817,0.41879,-0.09628
0.94042,-0.037587,0.42901,0.14543
0.95277,-0.05494,0.43922,-0.10332
0.95459,0.064048,0.44944,0.022689
0.96601,-0.066573,-0.48009,0.012445
0.91818,0.070116,-0.47059,-0.093319
0.99167,0.01456,-0.46108,0.14923
0.98014,-0.13131,-0.45158,-0.11796
1.001,0.19912,-0.44207,-0.001936
0.96163,-0.16005,-0.43256,0.14951
0.98695,0.018412,-0.42305,-0.23615
0.97191,0.15594,-0.41355,0.19935
0.97032,-0.26436,-0.40404,-0.044114
0.95821,0.2363,-0.39453,-0.15357
0.97947,-0.073728,-0.38503,0.2853
0.98668,-0.144,-0.37552,-0.27079
0.99774,0.29973,-0.36601,0.10617
0.99602,-0.30251,-0.35651,0.12833
0.9762,0.14054,-0.347,-0.30809
0.98073,0.10741,-0.33749,0.33112
0.97323,-0.31067,-0.32799,-0.17603
0.96342,0.35627,-0.31848,-0.081966
0.97616,-0.21191,-0.30897,0.30774
0.96962,-0.052678,-0.29947,-0.37766
0.97543,0.29956,-0.28996,0.24752
0.96778,-0.39499,-0.28045,0.020183
0.97188,0.28223,-0.27095,-0.28638
0.97464,-0.014894,-0.26144,0.40805
0.95409,-0.2685,-0.25193,-0.31546
0.96655,0.41667,-0.24242,0.051942
0.96275,-0.34668,-0.23292,0.24625
0.94535,0.090358,-0.22341,-0.42072
0.9737,0.21999,-0.2139,0.3754
0.9709,-0.42014,-0.2044,-0.12955
0.96831,0.40119,-0.19489,-0.19012
0.97378,-0.16893,-0.18538,0.41494
0.96841,-0.15705,-0.17588,-0.42365
0.96903,0.40517,-0.16637,0.20794
0.96236,-0.44246,-0.15686,0.12124
0.96213,0.24603,-0.14736,-0.39094
0.95781,0.083184,-0.13785,0.45734
0.96554,-0.37242,-0.12834,-0.28268
0.95919,0.46806,-0.11884,-0.043364
0.96277,-0.31738,-0.10933,0.34985
0.96263,-0.002299,-0.099822,-0.47446
0.96349,0.32348,-0.090315,0.34969
0.96529,-0.47643,-0.080808,-0.039487
0.96166,0.37917,-0.071301,-0.29363
0.93582,-0.081467,-0.061794,0.47394
0.96591,-0.26068,-0.052288,-0.40545
0.96658,0.467,-0.042781,0.12312
0.96559,-0.42818,-0.033274,0.22502
0.98203,0.16391,-0.023767,-0.45568
0.98836,0.18709,-0.01426,0.44707
0.98731,-0.44011,-0.004753,-0.20336
0.97687,0.46189,0.004753,-0.14734
0.96236,-0.24097,0.01426,0.42049
0.95454,-0.10627,0.023767,-0.47246
0.93985,0.39704,0.033274,0.27627
0.93843,-0.47865,0.042781,0.064386
0.94444,0.30885,0.052288,-0.37008
0.94944,0.022198,0.061794,0.48038
0.94231,-0.33993,0.071301,-0.3383
0.94642,0.47766,0.080808,0.019768
0.94539,-0.36426,0.090315,0.30698
0.9278,0.060988,0.099822,-0.47052
0.9452,0.27166,0.10933,0.38643
0.93438,-0.45909,0.11884,-0.10095
0.95099,0.40454,0.12834,-0.23442
0.94965,-0.13913,0.13785,0.44353
0.9593,-0.19577,0.14736,-0.41838
0.96838,0.42406,0.15686,0.17506
0.97672,-0.42778,0.16637,0.15621
0.98369,0.20826,0.17588,-0.40096
0.97823,0.11629,0.18538,0.43265
0.97272,-0.37458,0.19489,-0.2383
0.98265,0.43294,0.2044,-0.076567
0.97608,-0.26475,0.2139,0.3453
0.98781,-0.037606,0.22341,-0.42866
0.97874,0.31355,0.23292,0.28725
0.97795,-0.41989,0.24242,-1.3e-05
0.97247,0.30547,0.25193,-0.27982
0.97016,-0.035711,0.26144,0.40676
0.97918,-0.24463,0.27095,-0.3191
0.98214,0.38946,0.28045,0.068902
0.97727,-0.32788,0.28996,0.20856
0.97558,0.099002,0.29947,-0.36823
0.98173,0.17221,0.30897,0.3316
0.97756,-0.34339,0.31848,-0.12542
0.99177,0.33007,0.32799,-0.13623
0.98506,-0.14755,0.33749,0.31529
0.99425,-0.10134,0.347,-0.32311
0.98911,0.28431,0.35651,0.16477
0.98519,-0.31057,0.36601,0.068267
0.98671,0.1764,0.37552,-0.25089
